company,totalyearlycompensation,location,yearsofexperience,year
Facebook,370000,"Seattle, WA",8.0,2018
Amazon,200000,"Seattle, WA",3.0,2018
Google,690000,"Kirkland, WA",10.0,2018
Netflix,600000,"Los Gatos, CA",3.0,2018
Facebook,225000,"Menlo Park, CA",11.0,2018
Amazon,130000,"Seattle, WA",7.0,2018
Amazon,200000,"Boston, MA",5.0,2018
Facebook,200000,"Menlo Park, CA",5.0,2018
Apple,215000,"Cupertino, CA",0.0,2018
Google,700000,"Seattle, WA",6.0,2018
Amazon,260000,"Palo Alto, CA",3.0,2018
Facebook,240000,"Seattle, WA",10.0,2018
Amazon,300000,"Sunnyvale, CA",1.0,2018
Google,210000,"Mountain View, CA",1.0,2018
Google,210000,"Mountain View, CA",1.0,2018
Amazon,115000,"Seattle, WA",6.0,2018
Amazon,115000,"Seattle, WA",6.0,2018
Apple,188000,"Cupertino, CA",6.0,2018
Amazon,125000,"Seattle, WA",3.0,2018
Apple,322000,"Cupertino, CA",6.0,2018
Netflix,400000,"Los Gatos, CA",2.0,2018
Amazon,157000,"Seattle, WA",2.0,2018
Google,120000,"Santa Monica, CA",1.0,2018
Amazon,228000,"Seattle, WA",5.0,2018
Facebook,193000,"San Francisco, CA",1.0,2018
Apple,425000,"Sunnyvale, CA",9.0,2018
Facebook,385000,"Menlo Park, CA",6.0,2018
Facebook,280000,"San Francisco, CA",3.0,2018
Amazon,125000,"Seattle, WA",1.0,2018
Facebook,230000,"Menlo Park, CA",0.0,2018
Netflix,425000,"Los Gatos, CA",10.0,2018
Amazon,400000,"Seattle, WA",10.0,2018
Facebook,237000,"Menlo Park, CA",5.0,2018
Amazon,169000,"Seattle, WA",6.0,2018
Google,250000,"Mountain View, CA",6.0,2018
Google,250000,"Mountain View, CA",6.0,2018
Amazon,196000,"Irvine, CA",4.0,2018
Apple,300000,"Cupertino, CA",6.0,2018
Facebook,150000,"Menlo Park, CA",0.0,2018
Amazon,154000,"Seattle, WA",4.0,2019
Amazon,187000,"Seattle, WA",4.0,2019
Amazon,209000,"Palo Alto, CA",3.0,2019
Facebook,350000,"San Francisco, CA",4.0,2019
Amazon,181000,"Palo Alto, CA",4.0,2019
Apple,230000,"Cupertino, CA",1.0,2019
Netflix,655000,"Los Gatos, CA",5.0,2019
Amazon,123000,"Seattle, WA",0.0,2019
Google,634000,"Mountain View, CA",8.0,2019
AMAZON,178000,"San Francisco, CA",2.0,2019
Facebook,201000,"Seattle, WA",2.0,2019
Google,200000,"Mountain View, CA",0.0,2019
Amazon,165000,"Seattle, WA",6.0,2019
Google,225000,"Mountain View, CA",4.0,2019
Amazon,304000,"Seattle, WA",5.0,2019
Amazon,133000,"Seattle, WA",3.0,2019
google,300000,"Mountain View, CA",10.0,2019
Amazon,332000,"Palo Alto, CA",1.0,2019
Amazon,120000,"Seattle, WA",3.0,2019
Amazon,210000,"Seattle, WA",4.0,2019
Google,207000,"Mountain View, CA",10.0,2019
Amazon,220000,"Seattle, WA",5.0,2019
Google,100000,"Toronto, ON, Canada",2.0,2019
Amazon,294000,"Seattle, WA",1.0,2019
Amazon,294000,"Seattle, WA",1.0,2019
Amazon,294000,"Seattle, WA",1.0,2019
Amazon,185000,"Palo Alto, CA",4.0,2019
Facebook,190000,"Menlo Park, CA",2.0,2019
Facebook,225000,"Menlo Park, CA",0.0,2019
Facebook,395000,"Seattle, WA",15.0,2019
Apple,350000,"Sunnyvale, CA",5.0,2019
Apple,150000,"Cupertino, CA",4.0,2019
Amazon,204000,"Seattle, WA",3.0,2019
Amazon,250000,"Seattle, WA",3.0,2019
Facebook,195000,"Menlo Park, CA",9.0,2019
Facebook,206000,"Menlo Park, CA",4.0,2019
Amazon,300000,"Seattle, WA",1.0,2019
Facebook,220000,"San Francisco, CA",6.0,2019
Amazon,274000,"San Francisco, CA",7.0,2019
Google,220000,"Redwood City, CA",1.0,2019
Google,230000,"Seattle, WA",3.0,2019
Amazon,197000,"Pittsburgh, PA",5.0,2019
Facebook,190000,"Menlo Park, CA",1.0,2019
Facebook,350000,"Menlo Park, CA",12.0,2019
Amazon,204000,"New York, NY",4.0,2019
Google,248000,"Sunnyvale, CA",10.0,2019
Netflix,368000,"Los Gatos, CA",0.0,2019
Amazon,144000,"San Francisco, CA",1.0,2019
Amazon,228000,"New York, NY",3.0,2019
Amazon,181000,"New York, NY",4.0,2019
Facebook,210000,"Menlo Park, CA",4.0,2019
Amazon,197000,"Pittsburgh, PA",5.0,2019
Google,265000,"Mountain View, CA",10.0,2019
Facebook,190000,"Menlo Park, CA",3.0,2019
Amazon,265000,"San Francisco, CA",5.0,2019
Facebook,189000,"Menlo Park, CA",0.0,2019
Google,430000,"San Francisco, CA",6.0,2019
Facebook,340000,"Menlo Park, CA",10.0,2019
Apple,212000,"Cupertino, CA",4.0,2019
Google,257000,"Mountain View, CA",12.0,2019
Apple,214000,"Cupertino, CA",5.0,2019
Google,195000,"Mountain View, CA",0.0,2019
Amazon,210000,"Pittsburgh, PA",3.0,2019
Netflix,380000,"San Francisco, CA",8.0,2019
AMAZON,70000,"Seattle, WA",0.0,2019
Amazon,180000,"Seattle, WA",4.0,2019
Amazon,185000,"Seattle, WA",6.0,2019
Amazon,160000,"Seattle, WA",5.0,2019
Facebook,280000,"New York, NY",8.0,2019
Netflix,525000,"Los Angeles, CA",15.0,2019
Google,270000,"Sunnyvale, CA",5.0,2019
Amazon,300000,"San Francisco, CA",2.0,2019
Amazon,168000,"New York, NY",6.0,2019
Amazon,310000,"Seattle, WA",7.0,2019
Amazon,170000,"New York, NY",5.0,2019
Amazon,294000,"Seattle, WA",1.0,2019
Amazon,192000,"Seattle, WA",10.0,2019
Amazon,250000,"Palo Alto, CA",7.0,2019
Facebook,240000,"Menlo Park, CA",3.0,2019
Amazon,190000,"Seattle, WA",5.0,2019
Amazon Web Services,300000,"Seattle, WA",4.0,2019
Apple,258000,"Cupertino, CA",4.0,2019
Netflix,450000,"Los Angeles, CA",4.0,2019
Google,189000,"Sunnyvale, CA",0.0,2019
